CR #,Build,,Owner,Issues,Analysis,Date,CRs
IKUT-812442,LPD23.212 retasia,,André Marangone,"Security & Antivirus - Free app (com.wsandroid.suite) -- alarms
alarmtimer - kernel wakelock","Dup: IKSWL-39444
Dup: IKSWL-39302",,
IKUT-812700,LPD23.212 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-812969,LPD23.212 retasia,,André Marangone,"xmeye (com.mobile.myeye) running nonstop in background, consuming ~6% of CPU power",Dup: IKSWL-38789,,
IKUT-812532,LPD23.212,,André Marangone,Ok,Closed - Cancelled,,
IKUT-812543,LPD23.212,,André Marangone,Ok,Closed - Cancelled,,
IKUT-812620,LPD23.212,,André Marangone,(com.zipgo.customer) / (com.ryzmedia.tatasky) -- java wakelock,Moved to 3rd Party - MotoDev: IKSWL-39313,,
IKUT-812712,LPD23.212,,André Marangone,Wifi Tethering,Invalid,,
IKUT-812883,LPD23.212,,André Marangone,Ok,Closed - Cancelled,,
IKUT-812922,LPD23.212,,André Marangone,Ok,Closed - Cancelled,,
IKUT-813154,LPD23.212,,André Marangone,(com.zipgo.customer) -- java wakelock,Dup: IKSWL-39313,,
IKUT-812556,LPD23.210 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-813509,LPD23.215,,André Marangone,Bugreport missing,Incomplete,10/20/2015,7
IKUT-813189,LPD23.212,,André Marangone,error messages: E NEW_BHD,Moved to Kernel/BSP: IKSWL-39367,,
IKUT-813477,LPD23.212,,André Marangone,Wifi Tethering,Invalid,,
IKUT-813282,LPD23.212 retail,,André Marangone,Wifi Tethering,Invalid,,
IKUT-813394,LPD23.210,,André Marangone,Ok,Closed - Cancelled,,
IKUT-813425,LPD23.210,,André Marangone,Ok,Closed - Cancelled,,
IKUT-813432,LPD23.210,,André Marangone,(com.google.android.gm.exchange) -- java wakelock,Moved to SAPE - Current Drain: IKSWL-39371,,
IKUT-813737,LPD23.215 retasia,,André Marangone,Ok,Closed - Cancelled,10/21/2015,6
IKUT-813779,LPD23.215 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-813790,LPD23.215 retasia,,André Marangone,"Security & Antivirus - Free app (com.wsandroid.suite) -- alarms
alarmtimer - kernel wakelock","Moved to 3rd Party - MotoDev: IKSWL-39444
Dup: IKSWL-39302",,
IKUT-813525,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-813549,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-813558,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814072,LPD23.215 retasia,,André Marangone,"xmeye (com.mobile.myeye) running nonstop in background, consuming ~6% of CPU power",Dup: IKSWL-38789,10/22/2015,4
IKUT-814073,LPD23.215 retasia,,André Marangone,"Recharge, Shop and Wallet' (net.one97.paytm) -- alarms",Dup: IKSWL-38343,,
IKUT-814056,LPD23.215,,André Marangone,(com.zipgo.customer) -- java wakelock,Dup: IKSWL-39313,,
IKUT-814080,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814162,LPD23.215 retail,,André Marangone,wifi error messages,Moved to WiSL - WiFi: IKSWL-39475,10/23/2015,2
IKUT-814199,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814810,LPD23.216 retail,,André Marangone,video2 - kernel wakelock,Moved to MME - Camera: IKSWL-39533,10/26/2015,17
IKUT-814944,LPD23.216 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814533,LPD23.215 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814770,LPD23.215 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814963,LPD23.215 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814973,LPD23.215 retail,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815029,LPD23.215 retail,,André Marangone,Wifi Tethering (hotspot enabeld),Invalid,,
IKUT-815127,LPD23.215 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814470,LPD23.215,,André Marangone,Top Nos Falsetes' app (com.aronestudios.mcmelody) -- tag: AudioMix,Moved to 3rd Party - MotoDev: IKSWL-39542,,
IKUT-814632,LPD23.215,,André Marangone,Top Nos Falsetes' app (com.aronestudios.mcmelody) -- tag: AudioMix,Dup: IKSWL-39542,,
IKUT-814661,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814728,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814937,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-814950,LPD23.215,,Cesar,Ok,Closed - Cancelled,,
IKUT-814984,LPD23.215,,Cesar,Ok,Closed - Cancelled,,
